id;first_name;last_name;birth;created_at;modified_at;deleted_at;language
1;Garnett;Schinner;2019-10-28T14:46:14;2019-10-29T09:11:06;2019-10-28T20:01:11;2019-10-28T18:52:30;FRENCH
2;Bailey;Beer;2019-10-29T02:33:56;2019-10-28T16:47:58;2019-10-29T05:34:43;2019-10-28T23:09:39;ENGLISH
3;Akeem;Bednar;2019-10-28T14:18:36;2019-10-28T20:15:35;2019-10-28T17:36:33;2019-10-28T15:03:45;ENGLISH
4;Zachary;Deckow;2019-10-28T22:46:05;2019-10-29T06:17:09;2019-10-28T22:54:29;2019-10-29T00:59:37;ENGLISH
5;Einar;Ledner;2019-10-28T22:54:12;2019-10-29T03:59:27;2019-10-29T10:14:23;2019-10-29T12:28:03;SPANISH
6;Darlene;Klocko;2019-10-29T11:24:47;2019-10-28T18:44:37;2019-10-28T22:44:47;2019-10-29T08:47:43;FRENCH
7;Alyce;Stokes;2019-10-28T23:00:24;2019-10-28T21:15:37;2019-10-29T09:29:42;2019-10-29T02:46:32;SPANISH
8;Trystan;Wintheiser;2019-10-29T00:04:07;2019-10-28T18:11:10;2019-10-29T04:20:15;2019-10-29T06:16:37;SPANISH
9;Markus;Fisher;2019-10-29T03:01:26;2019-10-28T21:11:22;2019-10-29T10:39:31;2019-10-28T22:56:52;SPANISH
10;Giovanna;Gerhold;2019-10-29T09:12:50;2019-10-28T21:41:14;2019-10-28T19:27:33;2019-10-29T06:06:23;FRENCH
